ano,mes,dia,hora,Dia_semana,QTD_Associacao,R$_Associacao,QTD_App,R$_APP,QTD_Monitor,R$_Monitor,QTD_parquimetro,parquimetro,QTD_pdv,pdv,QTD_Total,R$_total
2017,10,13,16,4,0,0.00,16,19.00,127,260.00,6,14.00,0,0.00,149,293.00
2017,10,13,17,4,0,0.00,14,18.00,29,58.00,3,6.00,0,0.00,46,82.00
2017,10,14,8,5,0,0.00,10,18.00,39,86.00,2,3.00,0,0.00,51,107.00
2017,10,14,9,5,0,0.00,22,39.00,214,484.00,6,10.00,0,0.00,242,533.00
2017,10,14,10,5,0,0.00,40,55.00,226,482.00,5,10.00,0,0.00,271,547.00
2017,10,14,11,5,0,0.00,34,47.00,211,458.00,5,12.00,0,0.00,250,517.00
2017,10,14,12,5,0,0.00,15,21.00,111,222.00,8,15.00,0,0.00,134,258.00
2017,10,16,7,0,0,0.00,12,20.00,52,114.00,7,15.00,0,0.00,71,149.00
2017,10,16,8,0,0,0.00,11,13.00,138,312.00,1,2.00,0,0.00,150,327.00
2017,10,16,9,0,0,0.00,17,21.00,172,365.00,1,2.00,0,0.00,190,388.00
2017,10,16,10,0,0,0.00,11,17.00,93,204.00,6,12.00,0,0.00,110,233.00
2017,10,16,11,0,0,0.00,16,19.00,69,144.00,9,18.00,0,0.00,94,181.00
2017,10,16,12,0,0,0.00,28,47.00,98,218.00,12,28.00,0,0.00,138,293.00
2017,10,16,13,0,0,0.00,29,34.00,193,418.00,9,20.00,0,0.00,231,472.00
2017,10,16,14,0,0,0.00,24,30.00,166,346.00,12,24.00,0,0.00,202,400.00
2017,10,16,15,0,0,0.00,21,26.00,137,280.00,1,2.00,0,0.00,159,308.00
2017,10,16,16,0,0,0.00,18,19.00,38,76.00,3,6.00,0,0.00,59,101.00
2017,10,17,7,1,0,0.00,6,13.00,34,84.00,2,4.00,0,0.00,42,101.00
2017,10,17,8,1,0,0.00,18,31.00,119,270.00,3,6.00,0,0.00,140,307.00
2017,10,17,9,1,0,0.00,16,18.00,156,330.00,4,8.00,0,0.00,176,356.00
2017,10,17,10,1,0,0.00,12,22.00,94,196.00,10,20.00,0,0.00,116,238.00
2017,10,17,11,1,0,0.00,17,21.00,73,152.00,8,17.00,0,0.00,98,190.00
2017,10,17,12,1,0,0.00,22,30.00,110,240.00,7,18.00,0,0.00,139,288.00
2017,10,17,13,1,0,0.00,27,36.00,162,360.00,10,21.00,0,0.00,199,417.00
2017,10,17,14,1,0,0.00,19,22.00,150,320.00,11,23.00,0,0.00,180,365.00
2017,10,17,15,1,0,0.00,21,30.00,129,268.00,5,12.00,0,0.00,155,310.00
2017,10,17,16,1,0,0.00,10,14.00,21,42.00,6,16.00,0,0.00,37,72.00
2017,10,18,7,2,0,0.00,6,10.00,40,94.00,4,10.00,0,0.00,51,116.00
2017,10,18,8,2,0,0.00,12,17.00,96,200.00,6,12.00,0,0.00,114,229.00
2017,10,18,9,2,0,0.00,13,18.00,129,274.00,5,10.00,0,0.00,147,302.00
2017,10,18,10,2,0,0.00,29,33.00,100,216.00,4,12.00,0,0.00,133,261.00
2017,10,18,11,2,0,0.00,14,20.00,74,160.00,8,16.00,0,0.00,96,196.00
2017,10,18,12,2,0,0.00,21,30.00,111,258.00,3,6.00,0,0.00,135,294.00
2017,10,18,13,2,0,0.00,25,33.00,157,332.00,6,14.00,0,0.00,188,379.00
2017,10,18,14,2,0,0.00,27,35.00,130,288.00,7,14.00,0,0.00,164,337.00
2017,10,18,15,2,0,0.00,18,24.00,106,224.00,3,6.00,0,0.00,127,254.00
2017,10,18,16,2,0,0.00,22,24.00,21,42.00,6,12.00,0,0.00,49,78.00
