ano,mes,dia,hora,Dia_semana,QTD_Tags,R$_Tags
2016,8,15,11,0,102,76.7800
2016,8,15,12,0,89,78.3700
2016,8,15,13,0,125,143.3900
2016,8,15,14,0,147,144.2200
2016,8,15,15,0,124,103.2100
2016,8,15,16,0,124,92.6200
2016,8,15,17,0,114,59.3900
2016,8,16,6,1,3,6.5500
2016,8,16,7,1,9,24.9700
2016,8,16,8,1,70,70.8600
2016,8,16,9,1,131,120.0600
2016,8,16,10,1,127,125.6500
2016,8,16,11,1,97,77.4800
2016,8,16,12,1,80,62.6600
2016,8,16,13,1,126,133.4600
2016,8,16,14,1,128,129.4200
2016,8,16,15,1,121,103.4400
2016,8,16,16,1,138,89.3600
2016,8,16,17,1,105,57.6100
2016,8,17,7,2,10,19.6300
2016,8,17,8,2,68,84.6000
2016,8,17,9,2,121,134.3500
2016,8,17,10,2,137,114.9500
2016,8,17,11,2,99,68.1600
2016,8,17,12,2,85,70.7000
2016,8,17,13,2,123,146.5200
2016,8,17,14,2,137,131.6700
2016,8,17,15,2,133,105.0500
2016,8,17,16,2,107,71.3700
2016,8,17,17,2,116,54.2400
2016,8,18,6,3,1,0.1700
2016,8,18,7,3,8,25.3100
2016,8,18,8,3,65,60.7700
2016,8,18,9,3,119,110.5500
2016,8,18,10,3,133,114.5200
2016,8,18,11,3,113,109.8100
2016,8,18,12,3,79,66.2900
2016,8,18,13,3,128,120.8100
2016,8,18,14,3,155,150.2900
2016,8,18,15,3,112,86.6200
2016,8,18,16,3,118,88.7700
2016,8,18,17,3,101,52.9300
2016,8,19,6,4,1,0.5100
2016,8,19,7,4,13,18.3300
2016,8,19,8,4,73,79.5200
2016,8,19,9,4,117,116.1700
2016,8,19,10,4,154,130.1600
2016,8,19,11,4,111,85.6200
2016,8,19,12,4,81,54.2500
2016,8,19,13,4,48,58.8600
2016,8,19,14,4,154,159.8300
2016,8,19,15,4,141,131.2500
2016,8,19,16,4,131,109.8300
2016,8,19,17,4,108,53.2000
2016,8,20,7,5,8,17.7800
2016,8,20,8,5,76,91.5000
2016,8,20,9,5,142,123.4200
2016,8,20,10,5,143,110.4400
2016,8,20,11,5,111,69.2400
2016,8,22,5,0,1,0.5100
2016,8,22,7,0,12,22.9500
2016,8,22,8,0,73,68.9600
2016,8,22,9,0,136,125.9500
2016,8,22,10,0,158,128.6600
2016,8,22,11,0,109,81.8800
2016,8,22,12,0,89,78.0200
2016,8,22,13,0,176,160.7600
2016,8,22,14,0,155,140.4500
2016,8,22,15,0,133,112.3900
2016,8,22,16,0,117,82.7900
2016,8,22,17,0,111,64.5600
2016,8,23,6,1,1,1.7700
2016,8,23,7,1,6,13.9100
2016,8,23,8,1,77,84.2300
2016,8,23,9,1,133,132.2200
2016,8,23,10,1,140,132.1600
2016,8,23,11,1,121,87.3500
2016,8,23,12,1,70,67.9600
2016,8,23,13,1,117,115.5200
2016,8,23,14,1,178,259.6500
2016,8,23,15,1,206,328.9100
2016,8,23,16,1,131,124.5600
2016,8,23,17,1,113,60.0100
2016,8,24,7,2,6,21.9100
2016,8,24,8,2,87,92.5100
2016,8,24,9,2,136,120.2900
2016,8,24,10,2,139,119.4700
2016,8,24,11,2,105,70.8200
2016,8,24,12,2,70,49.0700
2016,8,24,13,2,156,169.0100
2016,8,24,14,2,212,314.0900
2016,8,24,15,2,190,263.7800
2016,8,24,16,2,169,226.3700
2016,8,24,17,2,182,261.0600
2016,8,24,18,2,69,167.0000
2016,8,25,4,3,1,1.3400
2016,8,25,7,3,8,22.2900
2016,8,25,8,3,93,113.4300
2016,8,25,9,3,129,131.6100
2016,8,25,10,3,145,141.3700
2016,8,25,11,3,125,100.7400
2016,8,25,12,3,78,74.4000
2016,8,25,13,3,145,150.3500
2016,8,25,14,3,151,136.0700
2016,8,25,15,3,119,106.0600
2016,8,25,16,3,132,104.3400
2016,8,25,17,3,94,50.2500
2016,8,26,7,4,9,14.8700
2016,8,26,8,4,93,83.3100
2016,8,26,9,4,115,132.0100
2016,8,26,10,4,234,349.3000
2016,8,26,11,4,207,285.1500
2016,8,26,12,4,159,257.7700
2016,8,26,13,4,191,292.9800
2016,8,26,14,4,240,345.0300
2016,8,26,15,4,223,310.9300
2016,8,26,16,4,191,282.7800
2016,8,26,17,4,179,246.3200
2016,8,26,18,4,68,149.0000
2016,8,27,4,5,1,0.8500
2016,8,27,6,5,1,0.8500
2016,8,27,7,5,4,9.7200
2016,8,27,8,5,64,74.8700
2016,8,27,9,5,123,139.5500
2016,8,27,10,5,129,109.0900
2016,8,27,11,5,97,54.4200
2016,8,29,6,0,4,7.0400
2016,8,29,7,0,12,25.6500
2016,8,29,8,0,72,89.3200
2016,8,29,9,0,141,146.4400
2016,8,29,10,0,225,326.7000
2016,8,29,11,0,151,264.0900
2016,8,29,12,0,103,228.1800
2016,8,29,13,0,198,327.6200
2016,8,29,14,0,248,364.0800
2016,8,29,15,0,215,289.3800
2016,8,29,16,0,197,270.5400
2016,8,29,17,0,176,255.0600
2016,8,29,18,0,67,175.0000
2016,8,30,6,1,2,4.8500
2016,8,30,7,1,9,31.3500
2016,8,30,8,1,79,78.3200
2016,8,30,9,1,163,168.2800
2016,8,30,10,1,232,309.0100
2016,8,30,11,1,206,313.6400
2016,8,30,12,1,195,323.6600
2016,8,30,13,1,234,336.3400
2016,8,30,14,1,237,361.4400
2016,8,30,15,1,227,301.5800
2016,8,30,16,1,191,257.4500
2016,8,30,17,1,175,256.2500
2016,8,30,18,1,68,172.0000
2016,8,31,6,2,1,0.3400
2016,8,31,7,2,8,18.1400
2016,8,31,8,2,89,77.7200
2016,8,31,9,2,151,160.8600
2016,8,31,10,2,216,307.6700
2016,8,31,11,2,210,305.6300
2016,8,31,12,2,181,299.8400
2016,8,31,13,2,221,330.9100
2016,8,31,14,2,251,363.1100
2016,8,31,15,2,219,330.2300
2016,8,31,16,2,197,311.6500
2016,8,31,17,2,180,281.1800
2016,8,31,18,2,68,172.0000
2016,9,1,6,3,2,7.8700
2016,9,1,7,3,6,16.2500
2016,9,1,8,3,74,69.0200
2016,9,1,9,3,171,168.9400
2016,9,1,10,3,231,338.2600
2016,9,1,11,3,207,288.6600
2016,9,1,12,3,177,274.6900
2016,9,1,13,3,243,355.7600
2016,9,1,14,3,248,389.0900
2016,9,1,15,3,221,334.7100
