ano,mes,dia,hora,Dia_semana,QTD_Associacao,R$_Associacao,QTD_App,R$_APP,QTD_Monitor,R$_Monitor,QTD_parquimetro,parquimetro,QTD_pdv,pdv,QTD_Total,R$_total
2016,3,22,16,1,0,0.00,59,67.00,308,394.00,0,0.00,0,0.00,367,461.00
2016,3,22,17,1,0,0.00,72,82.00,251,318.00,0,0.00,0,0.00,323,400.00
2016,3,22,18,1,0,0.00,32,30.00,80,74.00,0,0.00,0,0.00,112,104.00
2016,3,23,8,2,0,0.00,1,1.00,0,0.00,0,0.00,0,0.00,1,1.00
2016,3,23,9,2,0,0.00,28,32.00,126,175.00,2,2.00,0,0.00,156,209.00
2016,3,23,10,2,0,0.00,61,65.00,345,495.00,8,11.00,0,0.00,414,571.00
2016,3,23,11,2,0,0.00,88,105.00,428,536.00,6,7.00,0,0.00,522,648.00
2016,3,23,12,2,0,0.00,63,67.00,255,330.00,5,10.00,0,0.00,323,407.00
2016,3,23,13,2,0,0.00,22,24.00,165,224.00,0,0.00,0,0.00,187,248.00
2016,3,23,14,2,0,0.00,90,104.00,217,310.00,0,0.00,0,0.00,307,414.00
2016,3,23,15,2,0,0.00,81,87.00,393,514.00,0,0.00,0,0.00,474,601.00
2016,3,23,16,2,0,0.00,75,85.00,380,510.00,0,0.00,0,0.00,455,595.00
2016,3,23,17,2,0,0.00,45,47.00,308,374.00,0,0.00,0,0.00,353,421.00
2016,3,23,18,2,0,0.00,14,14.00,38,33.00,0,0.00,0,0.00,52,47.00
2016,3,24,8,3,0,0.00,2,2.00,0,0.00,0,0.00,0,0.00,2,2.00
2016,3,24,9,3,0,0.00,39,48.00,203,297.00,0,0.00,0,0.00,242,345.00
2016,3,24,10,3,0,0.00,56,61.00,445,591.00,0,0.00,0,0.00,501,652.00
2016,3,24,11,3,0,0.00,61,68.00,430,590.00,0,0.00,0,0.00,491,658.00
2016,3,24,12,3,0,0.00,42,46.00,291,387.00,0,0.00,0,0.00,333,433.00
2016,3,24,13,3,0,0.00,31,33.00,198,260.00,0,0.00,0,0.00,229,293.00
2016,3,24,14,3,0,0.00,28,37.00,61,83.00,0,0.00,0,0.00,89,120.00
2016,3,24,15,3,0,0.00,19,24.00,31,42.00,0,0.00,0,0.00,50,66.00
2016,3,24,16,3,0,0.00,24,26.00,103,146.00,0,0.00,0,0.00,127,172.00
2016,3,24,17,3,0,0.00,31,36.00,93,117.00,0,0.00,0,0.00,124,153.00
2016,3,24,18,3,0,0.00,9,7.00,32,33.00,0,0.00,0,0.00,41,40.00
2016,3,24,19,3,0,0.00,0,0.00,1,1.00,0,0.00,0,0.00,1,1.00
2016,3,26,8,5,0,0.00,1,1.00,0,0.00,0,0.00,0,0.00,1,1.00
2016,3,26,9,5,0,0.00,34,48.00,210,334.00,0,0.00,0,0.00,244,382.00
2016,3,26,10,5,0,0.00,62,71.00,576,878.00,0,0.00,0,0.00,638,949.00
2016,3,26,11,5,0,0.00,110,131.00,529,795.00,0,0.00,0,0.00,639,926.00
2016,3,26,12,5,0,0.00,54,55.00,283,316.00,0,0.00,0,0.00,337,371.00
2016,3,26,13,5,0,0.00,1,1.00,0,0.00,0,0.00,0,0.00,1,1.00
2016,3,26,14,5,0,0.00,1,1.00,0,0.00,0,0.00,0,0.00,1,1.00
2016,3,28,8,0,0,0.00,1,1.00,0,0.00,0,0.00,0,0.00,1,1.00
2016,3,28,9,0,0,0.00,35,40.00,153,226.00,0,0.00,0,0.00,188,266.00
2016,3,28,10,0,0,0.00,74,85.00,394,537.00,0,0.00,0,0.00,468,622.00
2016,3,28,11,0,0,0.00,81,88.00,420,560.00,0,0.00,0,0.00,501,648.00
2016,3,28,12,0,0,0.00,67,75.00,237,296.00,0,0.00,0,0.00,304,371.00
2016,3,28,13,0,0,0.00,32,34.00,146,187.00,0,0.00,0,0.00,178,221.00
2016,3,28,14,0,0,0.00,73,79.00,239,329.00,0,0.00,0,0.00,312,408.00
2016,3,28,15,0,0,0.00,93,112.00,408,566.00,0,0.00,0,0.00,501,678.00
2016,3,28,16,0,0,0.00,83,96.00,324,418.00,0,0.00,0,0.00,407,514.00
2016,3,28,17,0,0,0.00,65,76.00,330,419.00,0,0.00,0,0.00,395,495.00
2016,3,28,18,0,0,0.00,27,23.00,86,83.00,0,0.00,0,0.00,113,106.00
2016,3,29,8,1,0,0.00,1,1.00,0,0.00,0,0.00,0,0.00,1,1.00
2016,3,29,9,1,0,0.00,29,37.00,149,211.00,0,0.00,0,0.00,178,248.00
2016,3,29,10,1,0,0.00,63,71.00,380,536.00,0,0.00,0,0.00,443,607.00
2016,3,29,11,1,0,0.00,91,96.00,384,490.00,0,0.00,0,0.00,475,586.00
2016,3,29,12,1,0,0.00,66,72.00,233,301.00,0,0.00,0,0.00,299,373.00
2016,3,29,13,1,0,0.00,31,37.00,107,136.00,0,0.00,0,0.00,138,173.00
2016,3,29,14,1,0,0.00,59,71.00,205,272.00,0,0.00,0,0.00,264,343.00
2016,3,29,15,1,0,0.00,54,57.00,349,505.00,0,0.00,0,0.00,403,562.00
2016,3,29,16,1,0,0.00,53,65.00,366,476.00,0,0.00,0,0.00,419,541.00
2016,3,29,17,1,0,0.00,58,66.00,298,366.00,0,0.00,0,0.00,356,432.00
